INFO: start
INFO: Clearing chip ... done
INFO: Writing control logic chip number 1
INFO: instrAndStep=0039, address=00b9, enabled=1, bVal=8
INFO: instrAndStep=0039, address=0139, enabled=1, bVal=8
INFO: instrAndStep=0039, address=01b9, enabled=1, bVal=8
INFO: instrAndStep=003a, address=003a, enabled=1, bVal=2
INFO: instrAndStep=003a, address=00ba, enabled=1, bVal=2
INFO: instrAndStep=003a, address=013a, enabled=1, bVal=2
INFO: instrAndStep=003a, address=01ba, enabled=1, bVal=2
INFO: instrAndStep=003b, address=003b, enabled=1, bVal=0
INFO: instrAndStep=003b, address=00bb, enabled=1, bVal=0
INFO: instrAndStep=003b, address=013b, enabled=1, bVal=0
INFO: instrAndStep=003b, address=01bb, enabled=1, bVal=0
INFO: instrAndStep=003c, address=003c, enabled=1, bVal=0
INFO: instrAndStep=003c, address=00bc, enabled=1, bVal=0
INFO: instrAndStep=003c, address=013c, enabled=1, bVal=0
INFO: instrAndStep=003c, address=01bc, enabled=1, bVal=0
INFO: instrAndStep=003d, address=003d, enabled=1, bVal=0
INFO: instrAndStep=003d, address=00bd, enabled=1, bVal=0
INFO: instrAndStep=003d, address=013d, enabled=1, bVal=0
INFO: instrAndStep=003d, address=01bd, enabled=1, bVal=0
INFO: instrAndStep=003e, address=003e, enabled=1, bVal=0
INFO: instrAndStep=003e, address=00be, enabled=1, bVal=0
INFO: instrAndStep=003e, address=013e, enabled=1, bVal=0
INFO: instrAndStep=003e, address=01be, enabled=1, bVal=0
INFO: instrAndStep=003f, address=003f, enabled=1, bVal=0
INFO: instrAndStep=003f, address=00bf, enabled=1, bVal=0
INFO: instrAndStep=003f, address=013f, enabled=1, bVal=0
INFO: instrAndStep=003f, address=01bf, enabled=1, bVal=0
INFO: instrAndStep=0040, address=0040, enabled=1, bVal=4
INFO: instrAndStep=0040, address=00c0, enabled=1, bVal=4
INFO: instrAndStep=0040, address=0140, enabled=1, bVal=4
INFO: instrAndStep=0040, address=01c0, enabled=1, bVal=4
INFO: instrAndStep=0041, address=0041, enabled=1, bVal=8
INFO: instrAndStep=0041, address=00c1, enabled=1, bVal=8
INFO: instrAndStep=0041, address=0141, enabled=1, bVal=8
INFO: instrAndStep=0041, address=01c1, enabled=1, bVal=8
INFO: instrAndStep=0042, address=0042, enabled=0, bVal=2
INFO: instrAndStep=0042, address=00c2, enabled=1, bVal=2
INFO: instrAndStep=0042, address=0142, enabled=1, bVal=2
INFO: instrAndStep=0042, address=01c2, enabled=1, bVal=2
INFO: instrAndStep=0043, address=0043, enabled=0, bVal=0
INFO: instrAndStep=0043, address=00c3, enabled=1, bVal=0
INFO: instrAndStep=0043, address=0143, enabled=1, bVal=0
INFO: instrAndStep=0043, address=01c3, enabled=1, bVal=0
INFO: instrAndStep=0044, address=0044, enabled=0, bVal=0
INFO: instrAndStep=0044, address=00c4, enabled=1, bVal=0
INFO: instrAndStep=0044, address=0144, enabled=1, bVal=0
INFO: instrAndStep=0044, address=01c4, enabled=1, bVal=0
INFO: instrAndStep=0045, address=0045, enabled=0, bVal=0
INFO: instrAndStep=0045, address=00c5, enabled=1, bVal=0
INFO: instrAndStep=0045, address=0145, enabled=1, bVal=0
INFO: instrAndStep=0045, address=01c5, enabled=1, bVal=0
INFO: instrAndStep=0046, address=0046, enabled=0, bVal=0
INFO: instrAndStep=0046, address=00c6, enabled=1, bVal=0
INFO: instrAndStep=0046, address=0146, enabled=1, bVal=0
INFO: instrAndStep=0046, address=01c6, enabled=1, bVal=0
INFO: instrAndStep=0047, address=0047, enabled=0, bVal=0
INFO: instrAndStep=0047, address=00c7, enabled=1, bVal=0
INFO: instrAndStep=0047, address=0147, enabled=1, bVal=0
INFO: instrAndStep=0047, address=01c7, enabled=1, bVal=0
INFO: instrAndStep=0048, address=0048, enabled=1, bVal=4
INFO: instrAndStep=0048, address=00c8, enabled=1, bVal=4
INFO: instrAndStep=0048, address=0148, enabled=1, bVal=4
INFO: instrAndStep=0048, address=01c8, enabled=1, bVal=4
INFO: instrAndStep=0049, address=0049, enabled=1, bVal=8
INFO: instrAndStep=0049, address=00c9, enabled=1, bVal=8
INFO: instrAndStep=0049, address=0149, enabled=1, bVal=8
INFO: instrAndStep=0049, address=01c9, enabled=1, bVal=8
INFO: instrAndStep=004a, address=004a, enabled=1, bVal=2
INFO: instrAndStep=004a, address=00ca, enabled=0, bVal=2
INFO: instrAndStep=004a, address=014a, enabled=0, bVal=2
INFO: instrAndStep=004a, address=01ca, enabled=0, bVal=2
INFO: instrAndStep=004b, address=004b, enabled=1, bVal=0
INFO: instrAndStep=004b, address=00cb, enabled=0, bVal=0
INFO: instrAndStep=004b, address=014b, enabled=0, bVal=0
INFO: instrAndStep=004b, address=01cb, enabled=0, bVal=0
INFO: instrAndStep=004c, address=004c, enabled=1, bVal=0
INFO: instrAndStep=004c, address=00cc, enabled=0, bVal=0
INFO: instrAndStep=004c, address=014c, enabled=0, bVal=0
INFO: instrAndStep=004c, address=01cc, enabled=0, bVal=0
INFO: instrAndStep=004d, address=004d, enabled=1, bVal=0
INFO: instrAndStep=004d, address=00cd, enabled=0, bVal=0
INFO: instrAndStep=004d, address=014d, enabled=0, bVal=0
INFO: instrAndStep=004d, address=01cd, enabled=0, bVal=0
INFO: instrAndStep=004e, address=004e, enabled=1, bVal=0
INFO: instrAndStep=004e, address=00ce, enabled=0, bVal=0
INFO: instrAndStep=004e, address=014e, enabled=0, bVal=0
INFO: instrAndStep=004e, address=01ce, enabled=0, bVal=0
INFO: instrAndStep=004f, address=004f, enabled=1, bVal=0
INFO: instrAndStep=004f, address=00cf, enabled=0, bVal=0
INFO: instrAndStep=004f, address=014f, enabled=0, bVal=0
INFO: instrAndStep=004f, address=01cf, enabled=0, bVal=0
INFO: instrAndStep=0050, address=0050, enabled=1, bVal=4
INFO: instrAndStep=0050, address=00d0, enabled=1, bVal=4
INFO: instrAndStep=0050, address=0150, enabled=1, bVal=4
INFO: instrAndStep=0050, address=01d0, enabled=1, bVal=4
INFO: instrAndStep=0051, address=0051, enabled=1, bVal=8
INFO: instrAndStep=0051, address=00d1, enabled=1, bVal=8
INFO: instrAndStep=0051, address=0151, enabled=1, bVal=8
INFO: instrAndStep=0051, address=01d1, enabled=1, bVal=8
INFO: instrAndStep=0052, address=0052, enabled=0, bVal=2
INFO: instrAndStep=0052, address=00d2, enabled=0, bVal=2
INFO: instrAndStep=0052, address=0152, enabled=0, bVal=2
INFO: instrAndStep=0052, address=01d2, enabled=0, bVal=2
INFO: instrAndStep=0053, address=0053, enabled=0, bVal=0
INFO: instrAndStep=0053, address=00d3, enabled=0, bVal=0
INFO: instrAndStep=0053, address=0153, enabled=0, bVal=0
INFO: instrAndStep=0053, address=01d3, enabled=0, bVal=0
INFO: instrAndStep=0054, address=0054, enabled=0, bVal=0
INFO: instrAndStep=0054, address=00d4, enabled=0, bVal=0
INFO: instrAndStep=0054, address=0154, enabled=0, bVal=0
INFO: instrAndStep=0054, address=01d4, enabled=0, bVal=0
INFO: instrAndStep=0055, address=0055, enabled=0, bVal=0
INFO: instrAndStep=0055, address=00d5, enabled=0, bVal=0
INFO: instrAndStep=0055, address=0155, enabled=0, bVal=0
INFO: instrAndStep=0055, address=01d5, enabled=0, bVal=0
